# Chunk-averaged data for fix velo and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx
101000 20 5324.000000000001
  6 0.275 272.34 0.0415424
  7 0.325 271.5 0.0355182
  8 0.375 269.64 0.0279446
  9 0.425 265.18 0.0654402
  10 0.475 265.14 0.0267604
  11 0.525 263.62 0.0381876
  12 0.575 262.16 0.018022
  13 0.625 265.42 0.040326
  14 0.675 263.1 0.0313941
  15 0.725 262.54 0.0319484
  16 0.775 263.74 0.00629416
  17 0.825 267.28 0.0118772
  18 0.875 264.7 -0.00956777
  19 0.925 268.36 0.00601113
  20 0.975 265.72 -0.0482668
138000 20 5323.999999999999
  1 0.025 263.04 -0.0719311
  2 0.075 263.72 -0.0822677
  3 0.125 267.48 -0.0352535
  4 0.175 267.66 -0.0157467
  5 0.225 269.68 0.00334665
  6 0.275 267.26 0.00739088
  7 0.325 269.32 -0.0132166
  8 0.375 266.58 -0.0168765
  9 0.425 265.66 0.0158337
  10 0.475 267.04 0.0630877
  11 0.525 268.16 0.0965418
  12 0.575 265.36 0.0732192
  13 0.625 261.62 -0.0103166
  14 0.675 262.1 0.0289676
  15 0.725 266.26 0.0478121
  16 0.775 267.32 0.00772436
  17 0.825 271.34 0.048517
  18 0.875 267.54 0.0304864
  19 0.925 263.2 -0.00360607
  20 0.975 263.66 -0.0652426
139000 20 5324
  1 0.025 257.26 -0.0690539
  2 0.075 261.6 -0.0701775
  3 0.125 267.62 -0.0194517
  4 0.175 264.18 0.0391034
  5 0.225 264.7 0.027031
  6 0.275 263.74 0.0145066
