LAMMPS data file. Generated 2026-01-09 08:54:52.954177
6740 atoms
70 bonds
60 angles
50 dihedrals
0 impropers
4 atom types
1 bond types

0.0 14.769394404940591 xlo xhi
0.0 14.769497835581483 ylo yhi
0.0 43.711310009943 zlo zhi

Masses

1 1.0 
2 1.0 
3 1.0 
4 1.0 

Atoms # molecular

569 569 1  5.169515 13.293038 21.416562
570 570 1  5.169515 14.031541 20.678060
571 571 1  5.908017 13.293038 20.678060
572 572 1  5.908017 14.031541 21.416562
573 573 1  6.646519 13.293038 21.416562
574 574 1  6.646519 14.031541 20.678060
575 575 1  7.385021 13.293038 20.678060
576 576 1  7.385021 14.031541 21.416562
577 577 1  8.123524 13.293038 21.416562
578 578 1  8.123524 14.031541 20.678060
579 579 1  8.862026 13.293038 20.678060
580 580 1  8.862026 14.031541 21.416562
581 581 1  9.600528 13.293038 21.416562
582 582 1  9.600528 14.031541 20.678060
583 583 1  10.339030 13.293038 20.678060
584 584 1  10.339030 14.031541 21.416562
585 585 1  11.077532 13.293038 21.416562
586 586 1  11.077532 14.031541 20.678060
587 587 1  11.816034 13.293038 20.678060
588 588 1  11.816034 14.031541 21.416562
589 589 1  12.554536 13.293038 21.416562
590 590 1  12.554536 14.031541 20.678060
591 591 1  13.293038 13.293038 20.678060
592 592 1  13.293038 14.031541 21.416562
593 593 1  14.031541 13.293038 21.416562
594 594 1  14.031541 14.031541 20.678060
595 595 1  0.000000 0.000000 22.155064
596 596 1  0.000000 0.738502 22.893566
597 597 1  0.738502 0.000000 22.893566
598 598 1  0.738502 0.738502 22.155064
599 599 1  1.477004 0.000000 22.155064
600 600 1  1.477004 0.738502 22.893566
601 601 1  2.215506 0.000000 22.893566
602 602 1  2.215506 0.738502 22.155064
603 603 1  2.954009 0.000000 22.155064
604 604 1  2.954009 0.738502 22.893566
605 605 1  3.692511 0.000000 22.893566
606 606 1  3.692511 0.738502 22.155064
607 607 1  4.431013 0.000000 22.155064
608 608 1  4.431013 0.738502 22.893566
609 609 1  5.169515 0.000000 22.893566
610 610 1  5.169515 0.738502 22.155064
611 611 1  5.908017 0.000000 22.155064
612 612 1  5.908017 0.738502 22.893566
613 613 1  6.646519 0.000000 22.893566
614 614 1  6.646519 0.738502 22.155064
615 615 1  7.385021 0.000000 22.155064
616 616 1  7.385021 0.738502 22.893566
617 617 1  8.123524 0.000000 22.893566
618 618 1  8.123524 0.738502 22.155064
619 619 1  8.862026 0.000000 22.155064
620 620 1  8.862026 0.738502 22.893566
621 621 1  9.600528 0.000000 22.893566
622 622 1  9.600528 0.738502 22.155064
623 623 1  10.339030 0.000000 22.155064
624 624 1  10.339030 0.738502 22.893566
625 625 1  11.077532 0.000000 22.893566
626 626 1  11.077532 0.738502 22.155064
