# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_chunkvel[1] c_chunkvel[2] c_chunkvel[3]
1001000 20
6 -0.0597099 0.472883 -0.0372798
7 0.00533568 0.756424 -0.0145243
8 -0.112671 0.770068 -0.0847378
9 0.0421816 0.959034 0.0028023
10 0.0611354 1.12342 0.0219372
11 -0.0765527 1.46017 0.164668
12 0.0181663 1.73661 -0.0720331
13 0.05375 2.28156 -0.0105956
14 -0.0213476 2.546 -0.0340254
15 -0.0585476 2.92437 0.0427938
16 -0.130369 3.61138 0.0412246
17 0.0257881 4.29557 -0.0558394
18 0.00585643 4.80476 -0.0131458
19 0.0322677 5.72912 -0.161387
20 0 0 0
1023000 20
1 0 0 0
2 -1.41361 -1.82677 0.419128
3 -0.137082 0.0181768 -0.0546404
4 -0.128964 0.167977 -0.0222846
5 -0.0181279 0.350749 0.0482618
6 0.0142211 0.447674 -0.146717
7 -0.0444638 0.742991 -0.00178783
8 -0.0798711 0.818574 0.016147
9 -0.00420675 0.968376 0.011642
10 -0.0434436 1.09551 -0.0489095
11 -0.0195463 1.42958 0.121662
12 -0.0721178 1.77086 -0.0103155
13 0.0753985 2.24643 0.00529686
14 0.0575668 2.55437 0.0377028
15 0.102684 2.93048 0.0388953
16 -0.0117018 3.58206 0.070406
17 0.00400443 4.30073 -0.0667582
18 -0.0286412 4.76472 -0.116839
19 0.183114 5.32517 -0.439018
20 0 0 0
1024000 20
1 0 0 0
2 1.27152 -1.26503 0.38297
3 0.0475708 -0.0299325 -0.0261982
4 -0.063893 0.187076 -0.0152857
5 0.0251917 0.319566 0.068129
6 0.0620661 0.420757 -0.107416
7 -0.176148 0.825626 0.0185388
8 -0.098497 0.781773 -0.0590107
9 -0.0473421 0.985416 0.105015
10 -0.0286604 1.05019 0.00830729
11 -0.0205062 1.4457 0.113889
12 -0.0719556 1.79967 0.105111
13 0.0729019 2.23674 -0.106485
14 0.101368 2.55278 0.0559255
15 0.190761 2.92133 0.028852
16 -0.0411093 3.60159 0.0502504
17 0.0830538 4.28922 -0.0251285
18 -0.0633372 4.62359 -0.150629
19 0.159125 4.28513 0.336819
20 0 0 0
1025000 20
1 0 0 0
2 1.44355 -0.931943 -0.376583
3 0.0224648 -0.0185965 -0.0792562
4 -0.0372514 0.223236 -0.0458001
5 -0.00617638 0.273841 -0.0186713
6 0.0516071 0.466378 -0.00763638
7 -0.0890619 0.796479 -0.0223414
8 -0.0727204 0.828762 0.0525574
9 -0.0741694 0.897306 -0.010959
10 0.0108331 1.08991 0.085356
11 -0.0954766 1.41942 0.0193447
12 0.0278687 1.86336 0.0549637
13 0.0471693 2.22237 -0.0724737
14 0.0181017 2.52642 0.0952399
15 0.118191 2.945 0.0669205
16 -0.205788 3.55567 0.0210498
17 0.108504 4.32585 -0.0586022
18 0.0371294 4.57391 -0.0632811
19 0.120673 3.36138 0.119926
20 0 0 0
1026000 20
1 0 0 0
2 0.366241 -0.935695 -0.0494172
3 0.0578586 -0.0503012 0.0112513
4 -0.109982 0.227208 -0.0895833
5 1.56426e-05 0.332147 -0.11714
6 -0.0426339 0.456328 0.014812
7 -0.0145971 0.807442 0.00723418
8 -0.035149 0.860398 0.0229806
9 -0.0516178 0.892476 0.016233
10 -0.00611762 1.08651 0.171221
11 -0.00133712 1.38238 -0.0977675
12 0.0490664 1.89398 0.0294884
13 -0.158992 2.231 0.0651475
14 0.131091 2.51479 0.00445211
15 -0.0206892 2.97199 0.0848732
16 -0.125021 3.51958 0.0378972
17 0.0595204 4.3726 -0.105921
18 -0.133637 4.68442 0.0146363
19 0.418802 3.47424 -0.244063
20 0 0 0
1027000 20
1 0 0 0
2 -0.944181 -0.970796 0.24886
3 0.0661957 0.000533556 0.0895154
4 -0.125046 0.219716 -0.0756259
5 0.156774 0.34169 -0.116191
6 0.00869391 0.463334 0.0498425
7 0.101918 0.814703 0.0888719
8 -0.00556148 0.870187 -0.0521568
9 0.0435046 0.874999 0.0292537
10 0.0848022 1.07762 0.281749
11 0.106829 1.34933 -0.0803663
12 -0.0548767 1.94186 0.0073757
13 -0.0904194 2.22498 -0.0550385
14 -0.00213188 2.51365 0.0363532
15 -0.0831158 3.04514 -0.1531
16 -0.0128683 3.52224 0.00265086
17 -0.0315667 4.38309 -0.0346639
18 -0.162847 4.75282 0.00755218
19 -0.369441 5.39268 -0.497499
20 0 0 0
1028000 20
1 0 0 0
2 0.500994 -0.938152 -0.252103
3 -0.0966223 0.0776605 -0.0385988
4 -0.0682177 0.195696 -0.0430381
5 0.0041006 0.277445 0.0370857
6 0.0616408 0.488075 -0.0434581
7 0.117763 0.809504 0.156689
8 0.00076774 0.890256 -0.102427
9 -0.00575793 0.89224 -0.0297227
10 0.0441119 1.09621 0.115203
11 -0.0250121 1.31784 -0.0428303
12 -0.0698632 1.95579 0.0306576
13 0.00574461 2.24865 -0.0881341
14 -0.018364 2.44807 0.0563539
15 -0.0705957 3.09329 -0.0436397
16 0.00618116 3.56024 0.0530002
17 -0.11782 4.31531 0.101321
18 -0.0384877 4.76332 -0.0432747
19 0.171881 5.5981 0.404414
20 0 0 0
1029000 20
1 0 0 0
2 0.798316 -0.425482 0.159497
3 -0.068939 0.112131 -0.0880378
4 -0.0269585 0.200565 0.00242108
5 0.0678996 0.262999 -0.0953479
6 0.0313321 0.441155 -0.0241848
7 0.0176189 0.909516 0.122511
8 -0.0168048 0.796562 -0.0239327
9 0.0447427 0.932045 -0.0716067
10 0.0740359 1.13037 0.130152
11 -0.0323229 1.30722 0.0308313
12 0.00375068 1.95117 -0.0017609
13 0.0814582 2.23523 -0.0221627
14 -0.00945244 2.45482 0.00902552
15 0.0522205 3.05475 0.129205
16 0.182344 3.57295 0.0531517
17 -0.0653538 4.32719 0.0482949
18 0.0365413 4.72761 -0.04018
19 -0.748523 5.4732 0.46133
20 0 0 0
1030000 20
1 0 0 0
2 -0.961198 0.511134 0.0675805
3 -0.0288191 0.150014 -0.041172
4 -0.0647225 0.181496 -0.106208
5 0.00769698 0.281296 -0.0488969
6 -0.133794 0.421118 0.037485
7 0.00519251 0.955666 -0.01336
8 -0.0437833 0.759736 0.00758982
9 -0.012723 0.954532 -0.0183082
10 0.0150107 1.1355 0.122681
11 0.112067 1.3523 0.0642776
12 -0.0338813 1.89164 -0.0298585
13 -0.0317108 2.25368 0.0120106
14 -0.0343925 2.44844 -0.075343
15 0.0391111 3.04974 0.0777349
16 0.0269648 3.54698 0.0398299
17 0.0381203 4.32675 0.0287614
18 0.0233498 4.74808 0.0415433
19 -0.253357 4.60829 0.213965
20 0 0 0
1031000 20
1 0 0 0
2 -0.343219 0.93816 0.0718922
3 -0.0574234 0.205938 0.100095
4 -0.110158 0.180572 -0.209665
5 -0.0776873 0.298344 0.002515
6 -0.0673937 0.459804 0.132626
7 -0.00201476 0.944962 -0.0200558
8 0.00539608 0.739061 0.00193312
9 -0.0468963 0.935899 0.0242515
10 0.068992 1.15117 0.133966
11 -0.0597864 1.37829 0.0207565
12 0.0289675 1.88267 0.0189413
13 -0.0558666 2.25559 -0.0335247
14 -0.0478401 2.42067 -0.176831
15 0.0725537 3.09401 -0.0107466
16 -0.014225 3.54731 -0.0183134
17 -0.0739906 4.38593 0.0951695
18 0.0573421 4.63539 0.0640226
19 0.449222 3.20878 -0.0048432
20 0 0 0
1032000 20
1 0 0 0
2 -1.28712 0.970635 -0.0633988
3 0.0472092 0.179276 0.0179238
4 -0.0598193 0.192965 0.0759053
5 -0.0328592 0.343576 -0.126005
6 -0.0208984 0.440506 0.183908
7 -0.0937888 0.903324 0.0653677
8 -0.120827 0.730962 -0.0488983
9 -0.0447616 0.920105 -0.0527088
10 -0.0638409 1.20807 0.0521532
11 -0.0415115 1.4244 -0.104994
12 -0.00885653 1.83966 0.013456
13 -0.0315118 2.24589 0.0692289
14 0.121476 2.41356 0.0704763
15 0.0686478 3.07771 0.0118631
16 0.0761701 3.56771 -0.108705
17 -0.042401 4.36576 0.120912
18 -0.0418365 4.58355 -0.0659564
19 0.0423206 3.72861 0.324226
20 0 0 0
1033000 20
1 0 0 0
2 0.576951 1.12693 -1.21255
3 -0.0652285 0.00627437 -0.0179169
4 0.109338 0.199225 0.027978
5 0.0224544 0.419764 -0.0759699
6 -0.023078 0.361108 0.0933398
7 -0.104359 0.907858 0.105141
8 0.0694121 0.766411 -0.0863014
9 -0.0296087 0.92445 -0.0799266
10 -0.0680915 1.21401 -0.0384376
11 0.0636145 1.41347 -0.0836903
12 -0.0728043 1.79812 -0.0156303
13 0.0618708 2.20872 0.105425
14 0.0711212 2.45743 0.0645056
15 0.125521 3.08109 -0.133832
16 -0.0500637 3.57096 -0.0783187
17 -0.005057 4.35479 0.0991444
18 0.013664 4.56033 -0.0292308
19 -0.362378 4.81943 0.12945
20 0 0 0
1034000 20
1 0 0 0
2 1.81076 1.30677 -0.582837
3 -0.118713 -0.0812012 0.00903463
4 0.118307 0.181453 -0.0368129
5 0.0380738 0.468437 -0.0649365
6 -0.0201187 0.329607 0.0530257
7 -0.0211319 0.95081 0.0799284
8 -0.0909784 0.758733 -0.0674608
9 -0.025478 0.908856 -0.031076
10 0.0132704 1.27585 0.0182527
11 0.0360131 1.37441 -0.0638627
12 -0.0191489 1.74953 -0.0840626
13 -0.113385 2.20083 -0.0273184
14 -0.0173552 2.469 0.0333158
15 0.0495594 3.04646 -0.0611506
16 -0.0899726 3.58245 0.0035761
17 -0.0625832 4.33406 0.102789
18 0.00568574 4.67516 0.11502
19 -0.828582 6.35958 -0.827434
20 0 0 0
1035000 20
1 0 0 0
2 0.828674 1.51805 -0.697021
3 -0.0287249 -0.0471403 0.0752973
4 0.00306129 0.215464 -0.0142245
5 0.0721286 0.455829 -0.0665043
6 0.00421071 0.269828 -0.04255
7 -0.0538533 0.892344 0.00023912
8 -0.115156 0.815671 0.0524302
9 -0.0208427 0.95678 -0.0126186
10 0.174986 1.25115 0.0907262
11 -0.0754832 1.35034 -0.0422493
12 -0.0167767 1.79285 -0.0670492
13 -0.0315056 2.15705 -0.0116737
14 0.040946 2.4942 -0.0220302
15 -0.150579 3.02774 -0.0703879
16 0.0483242 3.59736 -0.0111423
17 -0.0233219 4.33006 -0.0407258
18 0.0921555 4.71609 0.0687248
19 -0.415064 6.43781 -1.86109
20 0 0 0
1036000 20
1 0 0 0
2 0.19435 1.55418 -0.0662279
3 0.00952965 0.120144 -0.0633147
4 0.0546367 0.175072 0.0325703
5 -0.0136205 0.417316 -0.139269
6 0.0379654 0.340234 0.00899394
7 0.0206382 0.836804 0.0233981
8 -0.0945432 0.837364 0.0395729
9 -0.0529074 0.969815 -0.0363777
10 0.138912 1.20804 0.107564
11 -0.0259478 1.36323 0.0307404
12 0.0618978 1.79794 -0.0453823
13 0.0888104 2.18433 0.0375584
14 0.0197875 2.51917 -0.0757292
15 -0.0893187 2.9778 -0.00141695
16 -0.0534535 3.69595 0.0980363
17 0.0531047 4.29388 0.0848976
18 0.0587514 4.82049 -0.00408823
19 -0.680436 6.15159 0.141135
20 0 0 0
1037000 20
1 0 0 0
2 -0.145153 1.06213 -0.348043
3 0.0811223 0.176192 0.0235233
4 0.0734079 0.198862 -0.0231387
5 -0.0443672 0.383044 -0.0107015
6 0.117791 0.420826 0.0680268
7 0.0816659 0.790193 0.0216377
8 -0.000638757 0.807508 -0.0813773
9 -0.0745105 1.00431 0.0346148
10 0.0930822 1.21422 0.0909668
11 -0.0470582 1.36697 0.0572171
12 -0.0171742 1.79523 -0.0541096
13 0.0380049 2.15393 0.0255357
14 0.0804345 2.53703 -0.0366518
