# Time-averaged data for fix kinetic_output
# TimeStep c_kinetic_core
154900 771.016
155000 720.543
155100 770.145
155200 743.973
155300 767.62
155400 770.574
155500 781.715
155600 778.176
155700 747.732
155800 815.019
155900 795.545
156000 751.6
156100 719.33
156200 771.099
156300 807.18
156400 748.63
156500 733.687
156600 755.136
156700 786.914
156800 768.694
156900 767.381
157000 789.544
157100 783.26
157200 787.025
157300 750.455
157400 801.559
157500 737.898
157600 780.967
157700 755.1
157800 772.031
157900 769.799
158000 767.295
158100 766.219
158200 737.685
158300 775.324
158400 768.249
158500 751.372
158600 766.114
158700 776.931
158800 758.08
158900 757.999
159000 778.853
159100 757.939
159200 757.365
159300 756.886
159400 751.535
159500 764.458
159600 768.338
159700 758.712
159800 788.82
159900 734.137
160000 771.935
160100 769.012
160200 782.505
160300 780.991
160400 757.116
160500 744.301
160600 760.589
160700 727.733
160800 782.604
160900 750.119
161000 764.243
161100 795.8
161200 777.782
161300 727.86
161400 793.058
161500 767.956
161600 774.585
161700 764.741
161800 768.494
161900 792.837
162000 790.213
162100 771.098
162200 769.404
162300 732.954
162400 763.584
162500 780.479
162600 755.046
162700 752.01
162800 764.634
162900 753.711
163000 765.401
163100 733.926
163200 768.869
163300 758.919
163400 725.119
163500 740.575
163600 759.485
163700 788.735
163800 749.122
163900 730.26
164000 772.318
164100 824.832
164200 769.583
164300 762.446
164400 747.407
164500 756.231
164600 762.221
164700 738.289
164800 737.527
164900 759.128
165000 760.747
165100 770.305
165200 756.293
165300 771.137
165400 774.777
165500 744.353
165600 760.028
165700 751.997
165800 758.87
165900 749.411
166000 774.486
166100 782.039
166200 778.504
166300 735.355
166400 760.018
166500 793.31
166600 770.451
166700 791.185
166800 784.298
166900 758.977
167000 786.395
167100 773.442
167200 778.533
167300 802.097
167400 755.916
167500 784.604
167600 780.278
167700 738.964
167800 760.961
167900 732.508
168000 765.525
168100 760.724
168200 800.462
168300 771.197
168400 785.061
168500 754.37
168600 818.602
168700 730.346
168800 785.058
168900 754.999
169000 752.71
169100 763.424
169200 754.771
169300 758.936
169400 741.231
169500 785.232
169600 761.854
169700 768.216
169800 751.542
169900 762.145
170000 756.354
170100 760.741
170200 783.711
170300 757.314
170400 745.93
170500 755.738
170600 776.977
170700 738.65
170800 791.413
170900 772.663
171000 748.523
171100 773.969
171200 756.287
171300 750.187
171400 761.444
171500 775.801
171600 742.959
171700 741.63
171800 738.504
171900 779.049
172000 767.715
172100 740.631
172200 784.201
172300 782.422
172400 739.985
172500 741.13
172600 769.792
172700 786.851
172800 771.493
172900 749.97
173000 728.561
173100 748.336
173200 751.341
173300 746.611
173400 749.365
173500 765.575
173600 771.25
173700 798.397
173800 783.261
173900 758.389
174000 782.456
174100 760.97
174200 769.788
174300 803.218
174400 738.282
174500 785.38
174600 758.494
174700 795.943
174800 774.563
174900 753.268
175000 797.205
175100 771.158
175200 762.954
175300 751.229
175400 768.608
175500 773.754
175600 794.128
175700 765.69
175800 759.088
175900 735.602
176000 747.382
176100 739.4
176200 748.675
176300 744.068
176400 768.464
176500 788.618
176600 761.306
176700 767.935
176800 781.004
176900 791.457
177000 754.04
177100 738.701
177200 771.52
177300 768.699
177400 744.672
177500 734.556
177600 768.037
177700 787.649
177800 739.539
177900 779.973
178000 755.837
178100 748.138
178200 774.791
178300 770.597
178400 719.825
178500 790.36
178600 780.757
178700 767.424
178800 775.302
178900 752.64
179000 778.777
179100 791.234
179200 749.93
179300 768.738
179400 743.525
179500 770.918
179600 787.001
179700 722.957
179800 756.256
179900 749.484
180000 712.569
180100 775.523
180200 769.158
180300 714.927
180400 773.272
180500 762.237
180600 788.906
180700 763.176
180800 769.607
180900 759.425
181000 762.077
181100 741.749
181200 800.926
181300 784.777
181400 751.718
181500 754.473
181600 771.815
181700 766.676
181800 764.529
181900 742.987
182000 739.844
182100 765.726
182200 792.011
182300 757.471
182400 777.925
182500 768.299
182600 739.901
182700 761.101
182800 779.633
182900 756.295
183000 766.852
183100 784.781
183200 764.633
183300 780.585
183400 731.707
183500 786.619
183600 736.837
183700 761.338
183800 740.227
183900 744.817
184000 803.834
184100 759.598
184200 794.241
184300 736.539
184400 759.14
184500 760.514
184600 755.645
184700 776.458
184800 824.959
184900 746.174
185000 798.447
185100 750.452
185200 753.899
185300 746.873
185400 763.223
185500 753.762
185600 732.518
185700 757.542
185800 764.892
185900 770.87
186000 793.721
186100 789.715
186200 716.343
186300 750.097
186400 759.991
186500 768.947
186600 752.458
186700 749.239
186800 759.594
186900 764.947
187000 775.106
187100 768.112
187200 737.656
187300 738.859
187400 778.375
187500 783.856
187600 784.757
187700 765.61
187800 751.365
187900 773.503
188000 773.185
188100 741.017
188200 764.921
188300 780.76
188400 785.504
188500 746.632
188600 739.147
188700 739.936
188800 776.801
188900 770.484
189000 794.068
189100 768.032
189200 772.126
189300 793.287
189400 793.263
189500 764.338
189600 775.253
189700 768.707
189800 779.519
189900 782.808
190000 790.95
190100 768.84
190200 759.969
190300 741.342
190400 757.075
190500 764.318
190600 748.604
190700 739.027
190800 748.34
190900 745.735
191000 734.202
191100 732.371
191200 792.992
191300 759.098
191400 730.049
191500 757.577
191600 750.946
191700 765.08
191800 765.659
191900 744.28
192000 731.996
192100 785.916
192200 764.78
192300 714.007
192400 760.574
192500 728.203
192600 781.537
192700 772.384
192800 772.752
192900 773.94
193000 760.178
193100 760.69
193200 750.438
193300 763.118
193400 756.471
193500 764.858
193600 777.164
193700 743.833
193800 782.109
193900 770.094
194000 753.61
194100 759.548
194200 752.767
194300 750.754
194400 758.937
194500 788.366
194600 771.185
194700 750.853
194800 743.806
194900 776.906
195000 756.694
195100 775.67
195200 728.606
195300 771.532
195400 795.582
195500 801.969
195600 759.177
195700 721.956
195800 804.864
195900 751.205
196000 736.667
196100 767.673
196200 754.071
196300 753.259
196400 761.056
196500 749.669
196600 735.349
196700 748.992
196800 791.227
196900 750.594
197000 778.941
197100 784.104
197200 779.882
197300 767.383
197400 790.166
197500 767.732
197600 781.023
197700 756.734
